vacina,doenca,idade inicial meses,idade final meses,idade inicial anos,idade final ano,doses,reforco,dose_unica,intervalo,fase da vida,observacao
Dengue tetravalente (Adolescente e Jovem Adulto),Dengue pelos sorotipos 1; 2; 3 e 4,N/A,N/A,10,14,2,Não,Não,N/A,Adolescente e Jovem Adulto,"2 doses (conforme histórico vacinal). Não se recomenda o uso de vacina contra dengue de diferentes laboratórios produtores. Caso haja infecção pelo vírus da dengue, é recomendado aguardar 6 meses para o início do esquema vacinal. Caso a pessoa tenha dengue antes de tomar a 2ª dose, não há alteração no intervalo entre D1 e D2, desde que a D2 não seja realizada com o período inferior a 30 dias do início da doença. A vacina contra dengue, também, está disponível para os trabalhadores de saúde que atuam na atenção primária do SUS, até 59 anos de idade (produtor I.Butantan). "
Meningocócica ACWY (Adolescente e Jovem Adulto),Doenças meningocócicas (tipos A; C; W; Y),N/A,N/A,11,14,1,Não,Sim,N/A,Adolescente e Jovem Adulto,
Hepatite B (Adolescente e Jovem Adulto),Hepatite B; Hepatite D,N/A,N/A,10,24,3,Não,Não,N/A,Adolescente e Jovem Adulto,3 doses (conforme histórico vacinal).
dT (Adolescente e Jovem Adulto),Difteria; tétano,N/A,N/A,10,24,1,Sim,Não,3653,Adolescente e Jovem Adulto,"3 doses (conforme histórico vacinal). Após o esquema completo (3 doses) com vacina contra difteria e tétano, é recomendado 1 dose de reforço a cada 10 anos com dT, antecipado para 5 anos em caso de risco de difteria ou tétano. Para profissionais de saúde, parteiras tradicionais e estagiários que atuam com recém-nascidos, recomenda-se a vacina dTpa. "
Febre amarela (Adolescente e Jovem Adulto),Febre amarela,N/A,N/A,10,24,1,Sim,Não,N/A,Adolescente e Jovem Adulto,"Manter a vacinação em dia, especialmente para quem mora ou vai viajar para áreas com transmissão ativa. Viajantes devem se vacinar pelo menos 10 dias antes da viagem para garantir proteção. "
Tríplice viral SCR (Adolescente e Jovem Adulto),Sarampo; caxumba; rubéola; síndrome da rubéola congênita,N/A,N/A,10,24,2,Não,Não,N/A,Adolescente e Jovem Adulto,2 doses (conforme histórico vacinal).
Pneumocócica 23-valente (Adolescente e Jovem Adulto),Doenças pneumocócicas invasivas pelos sorogrupos contidos na vacina,N/A,N/A,10,N/A,2,Não,Sim,N/A,Adolescente e Jovem Adulto,"2 doses (somente indígena, sem histórico vacinal com pneumo conjugada). Uma segunda dose deve ser administrada com intervalo de 5 anos após a 1ª dose."
Varicela (Adolescente e Jovem Adulto),Varicela (catapora),N/A,N/A,10,24,2,Não,Não,N/A,Adolescente e Jovem Adulto,"2 doses (somente indígena e trabalhador de saúde, sem histórico da doença ou na dúvida e conforme histórico vacinal). Em casos de indisponibilidade da vacina varicela monovalente, a vacina tetraviral poderá ser utilizada. "
Hepatite B (Adulto),Hepatite B; Hepatite D,N/A,N/A,25,59,3,Sim,Não,N/A,Adulto,3 doses (conforme histórico vacinal).
dT (Adulto),Difteria; tétano,N/A,N/A,25,59,3,Sim,Não,3653,Adulto,"3 doses (conforme histórico vacinal). Após o esquema completo (3 doses) com vacina contra difteria e tétano, é recomendado 1 dose de reforço a cada 10 anos com dT, antecipado para 5 anos em caso de risco de difteria ou tétano. Para profissionais de saúde, parteiras tradicionais e estagiários que atuam com recém-nascidos, recomenda-se a vacina dTpa. "
Febre amarela (Adulto),Febre amarela,N/A,N/A,25,59,1,Sim,Sim,N/A,Adulto,"Manter a vacinação em dia, especialmente para quem mora ou vai viajar para áreas com transmissão ativa. Viajantes devem se vacinar pelo menos 10 dias antes da viagem para garantir proteção."
Tríplice viral SCR (Adulto),Sarampo; caxumba; rubéola; síndrome da rubéola congênita.,N/A,N/A,25,59,2,Sim,Não,N/A,Adulto,"Conforme histórico vacinal: até 29 anos, 2 doses; entre 30 e 59 anos, 1 dose; trabalhador de saúde,  2 doses. Toda a população nesta idade deve estar vacinada.Os trabalhadores de saúde precisam atualizar a situação vacinal."
Pneumocócica 23-valente (Adulto),"Doenças pneumocócicas invasivas pelos sorogrupos contidos na vacina (somente indígena, sem histórico vacinal com pneumo conjugada)",N/A,N/A,25,59,2,Sim,Não,N/A,Adulto,Uma segunda dose deve ser administrada com intervalo de 5 anos após a 1ª dose.
